Subject,Start Date,All Day Event,Description
Vývoz komunálu,04/01/2026,True,Black bin collection - Štúrova
Zber papier a plasty,04/02/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,04/15/2026,True,Black bin collection - Štúrova
Vývoz komunálu,04/29/2026,True,Black bin collection - Štúrova
Zber papier a plasty,05/07/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,05/13/2026,True,Black bin collection - Štúrova
Zber papier a plasty,05/21/2026,True,Yellow/Blue - 3rd Thursday (Summer)
Vývoz komunálu,05/27/2026,True,Black bin collection - Štúrova
Zber papier a plasty,06/04/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,06/10/2026,True,Black bin collection - Štúrova
Zber papier a plasty,06/18/2026,True,Yellow/Blue - 3rd Thursday (Summer)
Vývoz komunálu,06/24/2026,True,Black bin collection - Štúrova
Zber papier a plasty,07/02/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,07/08/2026,True,Black bin collection - Štúrova
Zber papier a plasty,07/16/2026,True,Yellow/Blue - 3rd Thursday (Summer)
Vývoz komunálu,07/22/2026,True,Black bin collection - Štúrova
Zber papier a plasty,08/06/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,08/05/2026,True,Black bin collection - Štúrova
Zber papier a plasty,08/20/2026,True,Yellow/Blue - 3rd Thursday (Summer)
Vývoz komunálu,08/19/2026,True,Black bin collection - Štúrova
Zber papier a plasty,09/03/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,09/02/2026,True,Black bin collection - Štúrova
Zber papier a plasty,09/17/2026,True,Yellow/Blue - 3rd Thursday (Summer)
Vývoz komunálu,09/16/2026,True,Black bin collection - Štúrova
Vývoz komunálu,09/30/2026,True,Black bin collection - Štúrova
Zber papier a plasty,10/01/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,10/14/2026,True,Black bin collection - Štúrova
Vývoz komunálu,10/28/2026,True,Black bin collection - Štúrova
Zber papier a plasty,11/05/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,11/11/2026,True,Black bin collection - Štúrova
Vývoz komunálu,11/25/2026,True,Black bin collection - Štúrova
Zber papier a plasty,12/03/2026,True,Yellow/Blue - 1st Thursday
Vývoz komunálu,12/09/2026,True,Black bin collection - Štúrova
Vývoz komunálu,12/23/2026,True,Black bin collection - Štúrova
